sensor_id,sensor_type,location,lat,lon,timestamp,value_type,value
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:10:59.719194+00:00,temperature,24.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:18:26.157591+00:00,P2,8.67
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:18:26.157591+00:00,P1,15.53
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:20:58.375755+00:00,P2,8.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:20:58.375755+00:00,P1,13.83
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:20:58.533757+00:00,humidity,78.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:20:58.533757+00:00,temperature,24.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:28:29.316492+00:00,P2,9.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:28:29.316492+00:00,P1,17.77
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:30:59.588136+00:00,P2,8.73
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:30:59.588136+00:00,P1,14.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:31:01.351132+00:00,humidity,78.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:31:01.351132+00:00,temperature,24.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:35:59.983139+00:00,P2,9.37
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:35:59.983139+00:00,P1,13.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:38:31.188369+00:00,P2,9.57
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:38:31.188369+00:00,P1,16.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:43:31.395624+00:00,P2,14.07
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:43:31.395624+00:00,P1,24.98
42.0,SDS011,19.0,0.323,32.576,2018-04-04T05:43:56.282379+00:00,humidity,79.5
42.0,SDS011,19.0,0.323,32.576,2018-04-04T05:43:56.282379+00:00,temperature,22.2
42.0,SDS011,19.0,0.323,32.576,2018-04-04T06:06:11.153061+00:00,P2,11.83
42.0,SDS011,19.0,0.323,32.576,2018-04-04T06:06:11.153061+00:00,P1,23.03
42.0,SDS011,19.0,0.323,32.576,2018-04-04T06:50:39.882552+00:00,P2,9.2
42.0,SDS011,19.0,0.323,32.576,2018-04-04T06:50:39.882552+00:00,P1,12.53
42.0,SDS011,19.0,0.323,32.576,2018-04-04T06:55:38.615342+00:00,P2,9.33
42.0,SDS011,19.0,0.323,32.576,2018-04-04T06:55:38.615342+00:00,P1,14.2
42.0,SDS011,19.0,0.323,32.576,2018-04-04T06:55:41.603613+00:00,humidity,78.6
42.0,SDS011,19.0,0.323,32.576,2018-04-04T06:55:41.603613+00:00,temperature,23.0
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:03:07.091001+00:00,P2,8.67
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:03:07.091001+00:00,P1,16.7
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:03:08.849448+00:00,humidity,78.0
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:03:08.849448+00:00,temperature,23.2
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:05:38.839037+00:00,P2,7.63
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:05:38.839037+00:00,P1,13.9
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:05:43.957310+00:00,humidity,77.1
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:05:43.957310+00:00,temperature,23.2
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:08:10.005547+00:00,P2,10.17
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:08:10.005547+00:00,P1,17.2
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:10:43.732864+00:00,P2,6.8
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:10:43.732864+00:00,P1,11.33
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:15:39.542713+00:00,P2,5.6
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:15:39.542713+00:00,P1,7.57
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:15:41.634365+00:00,humidity,76.7
42.0,SDS011,19.0,0.323,32.576,2018-04-04T07:15:41.634365+00:00,temperature,23.3
42.0,SDS011,19.0,0.323,32.576,2018-04-04T08:12:36.712955+00:00,P2,7.53
42.0,SDS011,19.0,0.323,32.576,2018-04-04T08:12:36.712955+00:00,P1,10.03
42.0,SDS011,19.0,0.323,32.576,2018-04-04T08:12:37.491016+00:00,humidity,75.6
42.0,SDS011,19.0,0.323,32.576,2018-04-04T08:12:37.491016+00:00,temperature,23.7
42.0,SDS011,19.0,0.323,32.576,2018-04-04T08:24:58.999643+00:00,P2,4.5
